iter	Passed	Remaining
880	2448	330
881	2450	327
882	2454	325
883	2457	322
884	2460	319
885	2462	316
886	2465	314
887	2469	311
888	2471	308
889	2474	305
890	2476	302
891	2479	300
892	2484	297
893	2486	294
894	2488	291
895	2490	289
896	2492	286
897	2494	283
898	2498	280
899	2500	277
900	2502	274
901	2504	272
902	2506	269
903	2508	266
904	2512	263
905	2514	260
906	2516	258
907	2518	255
908	2521	252
909	2523	249
910	2525	246
911	2528	244
912	2530	241
913	2532	238
914	2534	235
915	2537	232
916	2539	229
917	2542	227
918	2545	224
919	2547	221
920	2549	218
921	2551	215
922	2553	213
923	2557	210
924	2559	207
925	2561	204
926	2564	201
927	2566	199
928	2568	196
929	2572	193
930	2574	190
931	2577	188
932	2579	185
933	2581	182
934	2587	179
935	2590	177
936	2592	174
937	2594	171
938	2596	168
939	2598	165
940	2602	163
941	2604	160
942	2607	157
943	2610	154
944	2614	152
945	2617	149
946	2619	146
947	2622	143
948	2624	141
949	2630	138
950	2632	135
951	2635	132
952	2637	130
953	2639	127
954	2645	124
955	2648	121
956	2650	119
957	2653	116
958	2655	113
959	2659	110
960	2661	108
961	2663	105
962	2665	102
963	2667	99
964	2670	96
965	2673	94
966	2675	91
967	2677	88
968	2679	85
969	2681	82
970	2684	80
971	2688	77
972	2690	74
973	2692	71
974	2694	69
975	2696	66
976	2699	63
977	2703	60
978	2705	58
979	2707	55
980	2709	52
981	2711	49
982	2713	46
983	2716	44
984	2718	41
985	2720	38
986	2722	35
987	2725	33
988	2727	30
989	2731	27
990	2734	24
991	2737	22
992	2739	19
993	2742	16
994	2745	13
995	2747	11
996	2750	8
997	2753	5
998	2755	2
999	2761	0
